attendance_id,emp_id,attendance_date,status
1,372,21-01-24,Present
2,225,27-01-24,Absent
3,387,04-01-24,Absent
4,216,06-01-24,WFH
5,417,07-01-24,Present
6,157,15-02-24,Absent
7,417,23-02-24,WFH
8,10,03-01-24,Absent
9,123,14-02-24,Present
10,36,28-01-24,WFH
11,449,15-02-24,Absent
12,390,01-01-24,WFH
13,321,09-02-24,Absent
14,377,16-01-24,Absent
15,100,25-02-24,WFH
16,365,21-02-24,Present
17,458,23-02-24,WFH
18,420,02-02-24,Absent
19,196,07-01-24,WFH
20,299,18-01-24,Absent
21,352,14-02-24,WFH
22,107,25-01-24,Present
23,239,30-01-24,WFH
24,498,16-02-24,Present
25,310,21-02-24,WFH
26,297,19-02-24,Present
27,170,19-02-24,WFH
28,52,01-01-24,WFH
29,172,24-02-24,WFH
30,44,10-02-24,Absent
31,179,01-01-24,WFH
32,381,16-02-24,WFH
33,131,02-02-24,WFH
34,248,20-01-24,Absent
35,344,08-01-24,Absent
36,363,25-02-24,Present
37,415,07-02-24,Absent
38,193,24-01-24,Present
39,321,23-02-24,WFH
40,25,25-01-24,Absent
41,195,24-02-24,Present
42,477,20-01-24,WFH
43,260,25-02-24,Present
44,249,26-02-24,WFH
45,66,14-01-24,WFH
46,445,05-02-24,WFH
47,6,12-01-24,WFH
48,70,09-01-24,WFH
49,38,06-01-24,Present
50,118,16-02-24,Present
51,106,25-01-24,Present
52,457,12-01-24,Absent
53,342,01-01-24,Absent
54,85,19-01-24,Absent
55,277,03-01-24,Absent
56,81,13-02-24,WFH
57,476,22-01-24,Present
58,6,15-02-24,Present
59,468,01-01-24,Present
60,303,19-01-24,Present
61,103,30-01-24,Present
62,328,06-02-24,Absent
63,139,28-02-24,Present
64,87,03-02-24,WFH
65,34,09-02-24,Absent
66,47,23-01-24,Absent
67,468,20-02-24,Absent
68,400,24-02-24,Present
69,227,14-02-24,Present
70,371,01-03-24,Present
71,14,03-01-24,WFH
72,7,25-02-24,Present
73,300,24-01-24,Present
74,44,05-02-24,WFH
75,165,15-01-24,Absent
76,476,06-02-24,Present
77,403,23-02-24,Absent
78,397,02-02-24,Absent
79,354,01-03-24,WFH
80,327,07-01-24,Absent
81,415,14-02-24,Present
82,38,13-01-24,Present
83,295,31-01-24,Present
84,71,10-02-24,Absent
85,200,01-01-24,Present
86,166,02-01-24,Present
87,420,01-03-24,WFH
88,183,06-02-24,Absent
89,282,25-01-24,WFH
90,293,01-01-24,Absent
91,467,22-01-24,WFH
92,80,19-02-24,WFH
93,241,17-01-24,Present
94,14,03-02-24,Absent
95,391,19-01-24,Present
96,456,12-02-24,Absent
97,101,05-01-24,Absent
98,238,19-01-24,WFH
99,323,09-01-24,Present
100,431,18-01-24,Absent
101,383,18-02-24,WFH
102,305,26-02-24,Present
103,487,01-03-24,Absent
104,215,06-01-24,WFH
105,382,10-02-24,Present
106,199,01-02-24,Absent
107,72,01-01-24,Absent
108,217,03-01-24,Absent
109,395,16-01-24,Absent
110,387,27-01-24,Present
111,47,21-01-24,WFH
112,236,02-01-24,Absent
113,203,28-02-24,Present
114,74,09-01-24,WFH
115,60,09-01-24,Present
116,487,02-02-24,Present
117,25,09-02-24,Absent
118,73,13-02-24,Absent
119,343,01-01-24,WFH
120,403,10-01-24,WFH
121,431,30-01-24,Absent
122,58,28-01-24,Present
123,350,19-02-24,WFH
124,36,12-02-24,WFH
125,290,17-01-24,Absent
126,468,23-01-24,WFH
127,239,25-02-24,Present
128,254,04-01-24,Absent
129,16,24-01-24,Present
130,467,22-01-24,WFH
131,465,04-01-24,Absent
132,69,06-01-24,WFH
133,219,11-01-24,WFH
134,188,04-01-24,Present
135,165,28-02-24,Present
136,138,25-01-24,WFH
137,228,24-01-24,Absent
138,410,20-02-24,Absent
139,365,05-01-24,WFH
140,374,28-02-24,WFH
141,249,11-02-24,Absent
142,419,05-02-24,WFH
143,414,07-02-24,WFH
144,142,31-01-24,Present
145,318,01-02-24,Present
146,477,29-02-24,WFH
147,105,08-01-24,Present
148,437,15-02-24,WFH
149,271,07-01-24,WFH
150,221,11-01-24,WFH
151,296,29-02-24,Absent
152,125,15-01-24,WFH
153,72,16-02-24,WFH
154,352,22-02-24,Absent
155,316,13-02-24,Present
156,300,25-02-24,WFH
157,475,24-02-24,WFH
158,164,30-01-24,WFH
159,324,18-02-24,Absent
160,236,03-02-24,Absent
161,417,17-02-24,WFH
162,26,22-02-24,Present
163,280,22-01-24,WFH
164,406,10-02-24,Absent
165,311,26-01-24,Absent
166,414,14-01-24,Absent
167,292,31-01-24,Present
168,78,30-01-24,WFH
169,286,21-01-24,Present
170,424,08-02-24,Absent
171,227,12-01-24,Absent
172,361,24-01-24,Absent
173,99,20-01-24,Present
174,86,13-01-24,Absent
175,392,03-01-24,Absent
176,241,03-02-24,Absent
177,142,02-02-24,WFH
178,442,18-02-24,Present
179,441,24-02-24,WFH
180,242,05-01-24,Absent
181,206,16-02-24,WFH
182,328,07-01-24,Present
183,318,27-01-24,Present
184,391,02-01-24,Absent
185,25,16-02-24,Present
186,365,11-01-24,Present
187,261,11-02-24,WFH
188,208,29-02-24,Present
189,188,29-02-24,Absent
190,414,23-01-24,Absent
191,140,04-02-24,Present
192,451,21-02-24,Present
193,406,08-02-24,Present
194,149,08-02-24,WFH
195,414,12-02-24,WFH
196,499,09-01-24,Present
197,302,28-01-24,WFH
198,333,16-01-24,Absent
199,258,05-01-24,Absent
200,198,09-02-24,Absent
201,307,06-01-24,Present
202,455,24-01-24,Absent
203,190,26-01-24,Present
204,62,01-02-24,Present
205,77,12-01-24,Present
206,483,21-02-24,WFH
207,33,13-02-24,Present
208,108,14-01-24,WFH
209,50,01-02-24,Absent
210,113,11-01-24,WFH
211,110,23-01-24,WFH
212,221,13-02-24,Present
213,60,18-01-24,WFH
214,88,09-02-24,Absent
215,113,08-02-24,Absent
216,458,03-01-24,WFH
217,13,07-02-24,Absent
218,54,03-01-24,WFH
219,17,28-02-24,Absent
220,327,30-01-24,WFH
221,302,23-01-24,WFH
222,144,08-01-24,Absent
223,57,18-02-24,WFH
224,360,13-01-24,Absent
225,265,06-02-24,WFH
226,222,11-02-24,WFH
227,48,07-01-24,WFH
228,41,03-01-24,Absent
229,286,07-01-24,WFH
230,53,19-02-24,Absent
231,500,11-01-24,WFH
232,120,31-01-24,Present
233,164,29-01-24,Absent
234,316,16-01-24,WFH
235,18,16-01-24,Absent
236,236,03-02-24,Present
237,353,28-01-24,Present
238,452,03-01-24,WFH
239,253,30-01-24,Present
240,469,29-02-24,Absent
241,352,08-01-24,WFH
242,125,18-01-24,Present
243,235,18-01-24,Absent
244,140,01-02-24,Present
245,362,05-02-24,Absent
246,218,25-02-24,Absent
247,469,16-01-24,Absent
248,421,28-01-24,WFH
249,275,25-01-24,Absent
250,395,27-01-24,WFH
251,362,17-01-24,WFH
252,439,11-02-24,WFH
253,321,02-02-24,Present
254,328,04-02-24,Absent
255,383,10-02-24,WFH
256,443,27-01-24,Present
257,352,17-01-24,Present
258,477,10-02-24,WFH
259,218,06-02-24,Absent
260,428,15-02-24,WFH
261,452,28-02-24,WFH
262,322,02-01-24,Absent
263,419,27-01-24,Present
264,203,05-01-24,Absent
265,299,24-01-24,Present
266,493,24-02-24,Absent
267,348,19-01-24,Absent
268,404,08-01-24,Present
269,194,05-02-24,WFH
270,356,04-01-24,WFH
271,44,10-01-24,Present
272,131,16-01-24,Present
273,271,13-02-24,Absent
274,326,09-02-24,Absent
275,78,06-02-24,Absent
276,361,29-02-24,Present
277,416,14-01-24,Present
278,2,09-02-24,Absent
279,222,20-01-24,Present
280,191,25-01-24,WFH
281,242,08-02-24,WFH
282,28,19-01-24,Present
